RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,75682867,Roberts,364,Italy,Female,54,6,51211.84,5,0,1,120691.44,0
2,66755036,Watson,662,Brazil,Female,33,8,75273.44,5,1,0,184511.82,1
3,66882282,Patel,316,Canada,Male,21,8,244526.63,2,1,1,235482.2,1
4,31081788,Lopez,499,Brazil,Female,49,8,113064.25,3,0,0,18192.0,0
5,23315092,Thompson,843,Canada,Female,37,8,252227.28,1,0,1,130313.12,0
6,45788921,Turner,511,Brazil,Female,46,5,81580.16,2,0,0,179464.72,0
7,36735830,Morgan,734,Australia,Male,48,15,258162.34,1,1,1,171792.09,0
8,41632483,Jimenez,572,Australia,Female,62,0,2427.13,3,0,0,191927.78,1
9,86737383,Collins,589,Brazil,Male,34,15,280360.64,2,1,0,213632.51,0
10,98358551,Scott,782,Canada,Male,58,13,223814.77,2,0,1,229828.17,0
11,98409749,Williams,533,Canada,Female,42,5,123819.14,2,1,0,57394.33,0
12,14981505,Edwards,707,UK,Female,62,4,173200.51,4,0,0,239452.53,0
13,23953367,Mendoza,445,USA,Male,33,6,279905.03,2,0,1,204376.44,0
14,95652971,Diaz,861,USA,Female,37,12,174768.1,2,0,0,226479.41,0
15,14521373,Cruz,729,Italy,Female,59,7,68570.56,3,0,0,95661.14,1
16,13344769,Taylor,731,USA,Male,27,0,171862.17,3,0,1,249664.62,1
17,86893497,Hill,844,Italy,Female,69,13,261434.19,4,0,0,17866.67,1
18,40349564,Hughes,796,Australia,Male,77,9,296234.99,2,1,1,219612.86,1
19,52860080,Ortiz,388,Italy,Male,65,3,175224.98,5,1,0,174551.14,1
20,87751354,Diaz,710,Italy,Female,40,3,46693.55,1,0,1,47377.25,0
21,72250665,Hall,540,USA,Male,69,15,231525.73,2,1,0,210344.92,0
22,76209791,Ramos,522,Canada,Female,50,12,299073.4,4,0,0,201414.98,0
23,56792155,Smith,767,Australia,Female,60,0,142090.78,5,0,1,141789.22,1
24,31498555,Lee,868,UK,Female,30,10,115119.83,3,0,0,163921.02,1
25,70221198,Chavez,621,Italy,Male,42,3,165750.19,1,0,0,44934.48,1
26,89757501,Lee,674,Italy,Male,67,6,49429.85,4,1,1,122649.26,0
27,26861870,Phillips,411,Brazil,Male,54,14,291385.02,3,0,1,24307.69,0
28,62286002,Brooks,826,Italy,Female,53,13,251500.41,2,0,1,150653.49,0
29,42049003,Nelson,711,Canada,Female,41,14,33897.21,4,0,0,121157.75,0
30,71136438,Phillips,568,UK,Male,23,5,283524.45,2,1,0,35102.29,0
31,72194931,Gutierrez,551,Brazil,Female,32,3,282845.84,4,0,1,111794.06,0
32,75285250,Baker,673,USA,Female,72,1,94906.42,4,1,0,117900.35,0
33,79537252,Young,749,Australia,Male,51,11,185742.62,2,1,1,188335.04,0
34,69248434,Martinez,836,Canada,Male,21,12,33226.29,4,0,1,27561.46,0
35,71306900,Murphy,667,UK,Male,31,6,25257.42,3,1,1,159273.57,1
36,65831368,Ward,554,Australia,Female,21,7,150538.37,3,0,0,135525.77,0
37,20959014,Morgan,762,USA,Female,45,8,14903.42,1,0,0,79604.72,0
38,66972561,Ortiz,567,Australia,Female,46,8,262467.48,1,0,0,189937.37,0
39,58900483,Ramirez,425,Brazil,Male,35,15,278428.61,4,0,1,147294.68,0
40,30193880,Evans,692,Italy,Male,75,13,20191.92,3,1,0,137278.38,0
41,13385357,Gomez,633,Italy,Male,37,3,14185.42,2,1,0,238802.54,0
42,54738553,Evans,864,Canada,Male,65,2,66425.35,4,1,1,206428.47,1
43,78574553,Brown,667,Australia,Female,58,4,278987.51,2,0,0,63510.89,0
44,26845364,Ward,854,Italy,Male,49,5,230704.39,5,0,1,106172.52,0
45,62157313,Taylor,853,Canada,Female,25,11,202949.34,1,1,1,170779.2,0
46,21392366,Gutierrez,755,Canada,Male,60,15,232904.16,4,0,1,144271.23,0
47,79778859,Kelly,366,Brazil,Female,63,12,59843.03,4,1,0,116214.77,0
48,98883975,Campbell,365,Canada,Male,66,7,76976.51,2,0,0,245613.53,1
49,23479854,Parker,894,USA,Female,30,2,95288.59,1,1,1,53993.48,0
50,83506850,Thompson,699,Italy,Female,57,13,181519.77,2,0,1,94558.72,0
51,23187277,Moore,586,Italy,Male,63,14,182466.02,2,1,1,108116.87,1
52,78979792,Smith,485,UK,Female,60,12,62582.32,1,0,0,31064.14,1
53,47709731,Wright,583,USA,Male,26,5,131018.15,5,1,0,124967.5,0
54,36939239,Murphy,815,Italy,Female,57,4,207005.97,3,0,0,138278.75,0
55,33027075,Edwards,536,Brazil,Male,63,12,92885.79,3,0,0,77180.18,0
56,91200125,Patel,317,Italy,Male,64,6,22643.12,5,0,1,241039.31,1
57,96191493,Collins,713,UK,Male,75,13,59216.99,1,1,1,140802.54,0
58,97796277,Smith,308,Australia,Female,50,8,49420.69,4,0,1,151717.57,1
59,76401385,Williams,719,Australia,Female,73,6,189582.84,1,0,1,225047.83,0
60,32335235,Gutierrez,328,USA,Male,29,10,20564.7,2,1,0,79446.86,0
61,10271836,Torres,647,Canada,Female,54,5,265424.87,1,1,1,164035.14,1
62,13584702,Chavez,875,UK,Male,42,15,25316.14,3,0,0,120571.66,1
63,62631083,Lewis,749,UK,Female,63,15,179372.92,4,1,0,102291.34,1
64,18585377,Ruiz,679,Italy,Male,42,8,278859.79,5,1,1,103654.73,0
65,96544585,Allen,665,Brazil,Male,71,15,18726.88,1,0,0,20647.52,1
66,95157821,Jimenez,526,Italy,Male,33,9,114931.46,4,0,1,207963.77,0
67,97655395,Stewart,417,Brazil,Male,68,3,98383.74,4,0,0,152627.25,0
68,27824013,Castillo,711,UK,Male,77,13,103262.63,3,0,1,234175.86,1
69,46601694,Hughes,655,Canada,Female,33,0,180093.44,2,1,1,213684.23,0
70,77105583,Brown,553,Australia,Female,56,7,78630.93,4,0,0,246449.07,0
71,70304654,Wilson,842,USA,Female,52,5,8196.89,4,1,1,22954.75,1
72,44119117,Price,743,Brazil,Female,40,5,288682.51,1,1,0,167373.64,0
73,46433622,Allen,380,Australia,Male,25,13,224632.8,5,1,1,239336.72,1
74,99482491,Perez,345,USA,Male,70,14,40538.28,1,0,0,195601.98,0
75,70031992,Mitchell,348,Canada,Male,70,4,136547.06,3,1,1,89560.24,0
76,65105831,Williams,748,UK,Female,63,9,18816.52,4,0,0,41447.48,0
77,13366612,Gray,706,Canada,Male,69,10,8356.9,2,0,0,172042.49,0
78,68743503,James,582,Brazil,Female,20,2,14253.52,4,1,1,169720.05,1
79,46258670,Thompson,772,UK,Female,77,5,226733.32,2,0,0,83688.38,1
80,79739572,Ortiz,715,Italy,Female,41,0,133477.19,2,1,1,204330.9,0
81,65848857,Lee,899,USA,Male,60,15,253319.07,2,0,1,163544.56,0
82,67055419,Nelson,420,Italy,Female,39,6,91564.53,5,0,0,112461.92,0
83,59160571,Patel,302,UK,Female,31,5,232596.52,1,1,1,124459.76,0
84,78394024,James,615,USA,Female,39,4,23380.37,3,1,0,73213.76,0
85,74525468,Sanchez,759,USA,Female,51,12,190532.45,5,0,1,141574.98,0
86,99966606,Green,526,Italy,Female,53,13,108180.57,5,1,0,132983.76,0
87,48727468,Foster,378,USA,Male,48,2,83017.48,2,1,0,236671.69,1
88,61757120,Nguyen,843,UK,Female,38,7,244532.73,5,0,1,134689.2,0
89,77157848,Mendoza,370,Brazil,Female,76,12,15576.64,3,0,0,197710.81,1
90,87897542,Hernandez,496,Brazil,Female,75,3,284859.44,3,1,0,159338.99,0
91,83665032,Lewis,357,UK,Male,22,8,235663.67,4,0,1,67927.66,0
92,95390464,Reyes,723,Italy,Female,36,8,106682.78,5,0,0,26644.21,1
93,58170987,Gutierrez,768,Canada,Male,59,4,297399.9,4,0,1,179953.79,0
94,62562567,Cook,347,UK,Female,70,10,60746.77,3,0,0,203552.0,0
95,33717335,Stewart,734,Brazil,Male,38,6,120724.2,5,1,1,220600.99,0
96,70472382,Jackson,484,UK,Male,19,5,265463.86,2,1,0,175675.39,0
97,22719242,Rivera,464,USA,Male,70,11,299042.13,2,1,1,117055.2,0
98,58715250,Carter,630,USA,Female,20,11,71733.85,5,1,1,130751.07,0
99,93139152,Perez,629,UK,Female,64,5,222934.02,4,0,1,193682.44,0
100,54054178,Cox,420,Italy,Female,68,14,91718.8,4,0,0,56857.75,0
101,48334882,Cruz,512,Canada,Female,70,3,229941.8,2,0,0,121386.2,1
102,62441466,Wilson,806,USA,Male,74,9,37585.2,4,0,0,27676.47,0
103,59583876,Baker,852,Brazil,Female,47,12,100850.98,2,1,1,39739.23,1
104,96117865,Thomas,467,USA,Female,51,11,22499.88,1,0,0,69236.66,1
105,73203558,Long,845,Brazil,Male,42,14,147569.08,2,1,1,163060.58,0
106,47407771,Kim,726,Canada,Male,52,7,210450.17,1,1,0,231222.9,0
107,93122310,Lopez,520,USA,Male,46,12,113584.83,5,0,0,100758.18,1
108,37009224,Diaz,309,Italy,Male,29,10,184415.08,1,0,0,132581.75,0
109,61327755,Gomez,419,Brazil,Female,40,10,170726.03,3,0,1,149071.72,0
110,89018913,Hill,546,USA,Female,45,13,88378.96,4,0,0,81875.35,0
